task_family,condition_label,noise_type,noise_size_target,n_trials,accuracy,compliance_rate,mean_latency_ms,median_latency_ms
arithmetic,noise_0,random_unrelated,0,10,0.9,1.0,1359.068161599862,1247.4530165000033
arithmetic,random_250,random_unrelated,250,10,0.9,1.0,1716.417251799976,1247.2035924997726
arithmetic,similar_250,similar_irrelevant,250,10,0.9,1.0,1115.907857900038,1016.3629434996437
arithmetic,random_1000,random_unrelated,1000,10,0.9,1.0,1345.2722375999656,1148.5645120001209
arithmetic,similar_1000,similar_irrelevant,1000,10,0.8,1.0,1391.84587130012,1111.884924000151
arithmetic,random_4000,random_unrelated,4000,10,0.9,1.0,1949.8355569001433,1770.4040200001145
arithmetic,similar_4000,similar_irrelevant,4000,10,0.9,1.0,1735.2251518999765,1504.0640309998707
instruction,noise_0,random_unrelated,0,10,1.0,1.0,1462.2299147001286,1264.4991560000562
instruction,random_250,random_unrelated,250,10,1.0,1.0,1267.232733200035,983.9828899998793
instruction,similar_250,similar_irrelevant,250,10,1.0,1.0,1318.5966097001256,1231.609519000358
instruction,random_1000,random_unrelated,1000,10,1.0,1.0,1488.9224732000912,1291.9669449997855
instruction,similar_1000,similar_irrelevant,1000,10,1.0,1.0,1380.030401300155,1409.4077980003021
instruction,random_4000,random_unrelated,4000,10,1.0,1.0,1763.8429021001684,1585.5217745001937
instruction,similar_4000,similar_irrelevant,4000,10,1.0,1.0,2094.4357613001557,2027.62005149998
logic,noise_0,random_unrelated,0,10,1.0,1.0,1199.408519500139,1063.8885755001866
logic,random_250,random_unrelated,250,10,1.0,1.0,1158.7066093999056,945.7829989996753
logic,similar_250,similar_irrelevant,250,10,1.0,1.0,1130.8934228999533,991.6350434996275
logic,random_1000,random_unrelated,1000,10,1.0,1.0,1155.1393933997133,1109.8507209999298
logic,similar_1000,similar_irrelevant,1000,10,1.0,1.0,1463.9197881001564,1407.740914000442
logic,random_4000,random_unrelated,4000,10,1.0,1.0,1756.184488999952,1597.6555570000528
logic,similar_4000,similar_irrelevant,4000,10,1.0,1.0,1839.7333424000863,1794.3942619999689
retrieval,noise_0,random_unrelated,0,10,1.0,1.0,1572.1199452001201,1485.6960870001785
retrieval,random_250,random_unrelated,250,10,1.0,1.0,1275.3298586999335,1166.3194505003958
retrieval,similar_250,similar_irrelevant,250,10,0.7,1.0,1417.8209385999253,1186.1022895000133
retrieval,random_1000,random_unrelated,1000,10,1.0,1.0,1385.4483733998677,1198.610276999716
retrieval,similar_1000,similar_irrelevant,1000,10,0.8,1.0,1064.1017494999687,1062.1438399998624
retrieval,random_4000,random_unrelated,4000,10,1.0,1.0,1636.1552449000555,1548.8219820003906
retrieval,similar_4000,similar_irrelevant,4000,10,0.9,1.0,2129.0604578000966,1962.7509645001737
